Sentence #,Word,Tag
Sentence: 1,Milly,B-BRAND
Sentence: 1,24,O
Sentence: 1,SLICES,O
Sentence: 1,CHEESE,B-PRODUCT
Sentence: 1,SLICES,I-PRODUCT
Sentence: 1,Net,O
Sentence: 1,Weight,O
Sentence: 1,:,O
Sentence: 1,480,O
Sentence: 1,g,O
Sentence: 1,0.53,O
Sentence: 1,KB,O
Sentence: 1,/,O
Sentence: 1,S,O
Sentence: 1,"""",O
Sentence: 1,Suggested,O
Sentence: 1,Serving,O
Sentence: 1,ony,O
Sentence: 1,26,O
Sentence: 2,SPICED,B-PRODUCT
Sentence: 2,BUTTERMILK,I-PRODUCT
Sentence: 2,9.00,O
Sentence: 2,Ne,O
Sentence: 2,l,O
Sentence: 2,26,O
Sentence: 2,),O
Sentence: 2,2pcs,O
Sentence: 2,Amu,B-BRAND
Sentence: 2,.,I-BRAND
Sentence: 2,(,O
Sentence: 2,1L,O
Sentence: 2,),O
Sentence: 2,MAST,O
Sentence: 2,A5,O
Sentence: 2,MAST,O
Sentence: 2,KB,O
Sentence: 2,/,O
Sentence: 2,S,O
Sentence: 3,Partly,O
Sentence: 3,Skimmed,O
Sentence: 3,Fruit,O
Sentence: 3,Yogurt,B-PRODUCT
Sentence: 3,epigamia,B-BRAND
Sentence: 3,eplgmia,O
Sentence: 3,11.0,O
Sentence: 3,Ne,O
Sentence: 3,l,O
Sentence: 3,25,O
Sentence: 3,),O
Sentence: 3,KB,O
Sentence: 3,/,O
Sentence: 3,S,O
Sentence: 3,HIGH,O
Sentence: 3,PROTEIN,O
Sentence: 3,GREEK,O
Sentence: 3,YOGURT,O
Sentence: 3,alphonso,O
Sentence: 3,mango,O
Sentence: 3,ZERO,O
Sentence: 3,RESERNVATINE,O
Sentence: 4,modeRn,O
Sentence: 4,moder,O
Sentence: 4,DeRn,O
Sentence: 4,Omilk,O
Sentence: 4,plus,O
Sentence: 4,bread,B-PRODUCT
Sentence: 4,W,O
Sentence: 4,'s,O
Sentence: 4,Co,O
Sentence: 4,pach,O
Sentence: 4,is,O
Sentence: 4,pa,O
Sentence: 4,calcium,O
Sentence: 4,power,O
Sentence: 4,of,O
Sentence: 4,2thi,O
Sentence: 4,1alas,O
Sentence: 4,16.0,O
Sentence: 4,Ye,O
Sentence: 4,l,O
Sentence: 4,25,O
Sentence: 4,KB,O
Sentence: 4,/,O
Sentence: 4,S,O
Sentence: 5,BAREVR,O
Sentence: 5,2,O
Sentence: 5,iDY,B-BRAND
Sentence: 5,PANEER,B-PRODUCT
Sentence: 5,SOFT,O
